Name,r,claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
AT2018ien,1,Candidate,,AT2018ien;ZTF18abvfisg,0,0,0,0,0,0
AT2018ieo,4,Candidate,,AT2018ieo;ZTF18abtnfvm,0,0,0,0,0,0
AT2018iep,2,Candidate,,AT2018iep;ZTF18acbuxby,0,0,0,0,0,0
AT2018ier,2,Candidate,,AT2018ier;ZTF18acceqkm;ATLAS18yvw,0,0,0,0,0,0
AT2018ies,1,Candidate,,AT2018ies;ZTF18abtpite,0,0,0,0,0,0
AT2018iev,2,Candidate,,AT2018iev;ZTF18abunigc,0,0,0,0,0,0
AT2018iew,2,Candidate,0.026725,AT2018iew;ZTF18acggomv,0,0,0,0,0,0
AT2018iex,1,Candidate,0.07966,AT2018iex;ZTF18abzzebd,0,0,0,0,0,0
AT2018iey,1,Candidate,,AT2018iey;ZTF18abnzunr,0,0,0,0,0,0
AT2018ifh,5,Candidate,,AT2018ifh;ATLAS18ynv;ZTF18accjwuo,0,0,0,0,0,0
AT2018ifj,4,Candidate,,AT2018ifj;ATLAS18ypq;ATLAS18ypx;ZTF18acbudqz,0,0,0,0,0,0
AT2018ifz,4,Candidate,0.032349,AT2018ifz;ZTF18aaheszr,0,0,0,0,0,0
AT2018iga,1,Candidate,,AT2018iga;ZTF18aaistwq,0,0,0,0,0,0
AT2018igb,1,Candidate,0.067166,AT2018igb;ZTF18aaojsvk,0,0,0,0,0,0
AT2018igc,2,Candidate,0.140421,AT2018igc;ZTF18aaobdmp,0,0,0,0,0,0
AT2018igd,2,Candidate,0.142484,AT2018igd;ZTF18aawwzsy,0,0,0,0,0,0
AT2018ige,5,Candidate,,AT2018ige;ZTF18acbztng,0,0,0,0,0,0
AT2018igf,1,CV,,AT2018igf;ZTF18aanvpol,0,0,0,0,0,0
AT2018igg,1,Candidate,,AT2018igg;ZTF18abywclh,0,0,0,0,0,0
AT2018igh,2,Candidate,,AT2018igh;ZTF18acaqluh,0,0,0,0,0,0
AT2018igi,1,Candidate,,AT2018igi;ZTF18accdnep,0,0,0,0,0,0
AT2018igj,1,Candidate,,AT2018igj;ZTF18acbzwbd,0,0,0,0,0,0
AT2018igk,1,Candidate,0.130997,AT2018igk;ZTF18acbzoxp,0,0,0,0,0,0
AT2018igl,4,Candidate,,AT2018igl;ZTF18acbxupe,0,0,0,0,0,0
AT2018igm,1,Candidate,,AT2018igm;ZTF18acbzoxo,0,0,0,0,0,0
AT2018ign,2,Candidate,,AT2018ign;ZTF18abmnvkx,0,0,0,0,0,0
AT2018igo,1,Candidate,,AT2018igo;ZTF18acbwrzi,0,0,0,0,0,0
AT2018igp,1,Candidate,,AT2018igp;ZTF18acbwoym,0,0,0,0,0,0
AT2018igq,4,Candidate,0.098538,AT2018igq;ZTF18acbwgdk,0,0,0,0,0,0
AT2018igr,2,Candidate,,AT2018igr;ZTF18acbwssb,0,0,0,0,0,0
AT2018igs,2,Candidate,,AT2018igs;ZTF18acbwqbd,0,0,0,0,0,0
AT2018igu,2,Candidate,0.0477,AT2018igu;ZTF18abwpdny,0,0,0,0,0,0
AT2018igv,1,Candidate,,AT2018igv;ZTF18abrxxhw,0,0,0,0,0,0
AT2018igx,1,Candidate,,AT2018igx;ZTF18aahqcdb,0,0,0,0,0,0
AT2018igy,1,Candidate,0.097417,AT2018igy;ZTF18acepbxq,0,0,0,0,0,0
AT2018igz,2,CV,,AT2018igz;ZTF18acehjtj,0,0,0,0,0,0
AT2018iha,1,Candidate,,AT2018iha;ZTF18acbwtnl,0,0,0,0,0,0
AT2018ihb,2,Candidate,,AT2018ihb;ZTF18abxjani,0,0,0,0,0,0
AT2018ihd,1,Candidate,,AT2018ihd;ZTF18abmarax,0,0,0,0,0,0
AT2018ihf,1,Candidate,,AT2018ihf;ZTF18aahtnlt,0,0,0,0,0,0
AT2018ihg,2,Candidate,,AT2018ihg;ZTF18acaacnx,0,0,0,0,0,0
AT2018ihh,1,Candidate,,AT2018ihh;ZTF18acejgrz,0,0,0,0,0,0
AT2018ihi,1,Candidate,,AT2018ihi;ZTF18aceolcv,0,0,0,0,0,0
AT2018ihu,4,Candidate,,AT2018ihu;ATLAS18yrq;ZTF18acchzkn,0,0,0,0,0,0
AT2018ihy,2,Candidate,,AT2018ihy;ATLAS18yuu;ZTF18acbuead,0,0,0,0,0,0
AT2018iio,2,Candidate,,AT2018iio;ZTF18aazyweo,0,0,0,0,0,0
AT2018iip,2,Candidate,,AT2018iip;ZTF18abtfqdy,0,0,0,0,0,0
AT2018iiq,3,Candidate,,AT2018iiq;ZTF18acashte,0,0,0,0,0,0
AT2018iir,1,Candidate,,AT2018iir;ZTF18acbwpsb,0,0,0,0,0,0
AT2018iit,2,Candidate,0.004923,AT2018iit;ZTF18accdorj,0,0,0,0,0,0
AT2018iiu,1,Candidate,,AT2018iiu;ZTF18accebly,0,0,0,0,0,0
AT2018ikc,2,Candidate,0.012792,AT2018ikc;ZTF18acfivzx,0,0,0,0,0,0
AT2018ike,2,Candidate,,AT2018ike;ZTF18abvrvdk,0,0,0,0,0,0
AT2018ikf,1,Candidate,0.01298,AT2018ikf;ZTF18acfsryl,0,0,0,0,0,0
AT2018ikh,2,Candidate,0.005837,AT2018ikh;ZTF18abwiwam,0,0,0,0,0,0
AT2018ilt,2,Candidate,,AT2018ilt;ATLAS18zeh;ZTF18achhcip,0,0,0,0,0,0
AT2018ime,1,Candidate,,AT2018ime;ATLAS18zfm;ZTF18achoord,0,0,0,0,0,0
AT2018inh,4,Candidate,,AT2018inh;ZTF18accvtny,0,0,0,0,0,0
